branch-load-misses,branch-misses,iTLB-load-misses,dTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,L1-dcache-load-misses,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.all_demand_miss,l2_rqsts.demand_data_rd_miss,l1d_pend_miss.pending_cycles,l2_rqsts.code_rd_miss,l2_rqsts.rfo_miss,cache-misses,LLC-load-misses,LLC-store-misses,CPI
1299595,1308052,1064,2088,1097,37995,26470824,51974367,12730,496149,361085,46766025,19557,156186,354048,22780,41890,2.35
1410672,1364629,1276,4181,1013,38909,25951475,58563195,15607,477451,324685,49922571,23976,185309,657889,20798,44943,2.39
1496129,1461509,983,3072,807,46310,24317438,76778465,36612,523413,335116,55904065,33094,197852,773695,50642,39812,2.4
1534913,1527983,893,2399,1210,28379,23527249,99175086,43341,573899,326229,55596045,28488,161837,491886,30684,43417,2.38
1544985,1540461,856,3057,1091,42589,22301393,124717435,33916,453083,281900,74919998,18068,129487,1257268,32624,66214,2.37
1480928,1506453,938,1497,693,21020,24753453,77348300,43833,481694,292849,99128502,25705,121117,1200280,71799,71694,2.27
1530437,1499205,552,2986,1240,25209,25991666,54472739,17504,509425,326034,114671873,46758,149814,1945592,64416,65338,2.24
1469194,1462299,1118,3264,1181,25751,26986403,43308552,18942,471693,329804,64179294,35783,169456,1708013,70050,86029,2.22
1472593,1521531,552,1632,753,23273,26975021,47520513,18305,521565,326541,53784830,36727,161492,2403728,151575,80741,1.96
1391953,1384763,991,8207,1539,50703,23022778,83208378,42689,525787,319936,80645948,35057,168737,1927644,84409,98766,2.03
1407737,1371766,1134,3157,1247,45924,26416866,55284991,37891,533556,340293,49271875,22962,154084,1985532,108341,63112,2.14
1393425,1429915,1063,3263,1210,36461,27606339,49161182,28177,549612,332684,47485386,20692,166072,623550,22882,34571,2.35
1376726,1403313,932,3001,979,35912,26095752,54960426,27730,527961,337237,40593879,32580,182596,758237,48492,61376,2.37
1487583,1458511,978,3737,1238,40716,24883285,68333965,39996,601112,344732,47862492,10260,153601,394439,25115,36254,2.38
1530836,1507590,1048,4411,1471,47758,23314847,98372843,36995,543666,342345,49642468,13209,135178,646083,27485,37204,2.39
1464234,1459911,936,3478,1049,44082,24126299,97727155,19466,458811,307275,69502815,30279,151486,361416,46468,61897,2.38
1536033,1517398,437,3155,1008,28235,24099966,68572594,18316,406142,313671,113694832,43679,204134,978103,9411,34984,2.39
1627707,1592482,1159,2383,1193,29058,25849380,62154607,24188,453783,309663,104922078,34832,156595,2531268,72564,50010,2.27
